Time,Hari 1 - FO,Hari 2 - FO,Hari 3 - FO,Hari 1  - Wireless,Hari 2  - Wireless,Hari 3  - Wireless
2023-07-07 9:52:55,3.28,93.44,3.79,216.33,15.58,27.07
2023-07-07 9:52:58,3.93,6.39,6.55,35.1,15.15,26.69
2023-07-07 9:53:00,5.63,90.41,3.32,14.51,93.61,
2023-07-07 9:53:03,4.25,11.66,49.67,69.19,16.99,46.11
2023-07-07 9:53:05,3.65,56.21,3.25,19.7,23.06,22.33
2023-07-07 9:53:08,3.5,11.9,20.99,28.01,25.49,19.71
2023-07-07 9:53:10,12.38,10.18,4.41,18.98,20.93,27.82
2023-07-07 9:53:13,3.52,4.28,2.43,47.29,,29.48
2023-07-07 9:53:15,3.61,4.77,4.5,21.63,18.97,40.88
2023-07-07 9:53:18,3.32,4.85,4.93,41.54,18.12,27.13
2023-07-07 9:53:20,3.05,4.1,5.44,40.29,16.44,97.91
2023-07-07 9:53:23,3.8,4.42,3.62,56.87,16.08,42.12
2023-07-07 9:53:25,4.85,13.1,3.64,174.24,15.01,12.4
2023-07-07 9:53:28,7.77,4.81,4.51,17.34,17.42,21.26
2023-07-07 9:53:30,6.37,4.96,4.46,94.67,34.51,79.05
2023-07-07 9:53:33,4.1,01.01,6.64,26.2,15.76,16.04
2023-07-07 9:53:35,3.54,62.92,4.51,20.16,15.21,29.87
2023-07-07 9:53:38,3.81,12.27,4.76,49.18,220.7,19.1
2023-07-07 9:53:40,3.78,4.52,4.08,33.2,233.12,44.92
2023-07-07 9:53:43,5.52,4.33,32.55,19.23,18.85,47.61
2023-07-07 9:53:45,30.54,3.94,5.5,16.91,15.7,21.2
2023-07-07 9:53:48,3.34,9.63,3.43,19.01,,22.97
2023-07-07 9:53:50,3.8,3.47,4.08,26.06,15.9,35.62
2023-07-07 9:53:53,3.14,10.01,3.52,19,20.72,31.63
2023-07-07 9:53:55,3.53,81.8,5.3,15.46,56.75,16.96
2023-07-07 9:53:58,5.61,52.13,5.04,49.09,14.21,14.21
2023-07-07 9:54:00,3.5,101.23,44.59,27.19,22.18,20.34
2023-07-07 9:54:03,3.93,2.1,5.59,28.04,16.63,26.6
2023-07-07 9:54:05,3.41,213.2,3.68,20.78,14.93,22.53
2023-07-07 9:54:08,3.79,27.53,3.69,20.27,23.49,28.47
2023-07-07 9:54:10,4.62,18.54,6.62,14.6,39.01,14.09
2023-07-07 9:54:13,4.47,2.81,11.47,17.6,21.15,17.4
2023-07-07 9:54:15,7.73,3.65,3.85,14.44,16.33,21.41
2023-07-07 9:54:18,2.96,18.2,3.82,16.28,227.63,16.93
2023-07-07 9:54:20,3.05,4.56,3.27,13.08,18.15,33.2
2023-07-07 9:54:23,3.28,4.59,5.64,18.21,15.16,24.92
2023-07-07 9:54:25,3.83,5.6,94.74,14.18,15.6,40.12
2023-07-07 9:54:28,9.44,5.1,6.2,36.26,70.95,19.51
2023-07-07 9:54:30,5.28,26.06,3.78,25.63,15.21,19.14
2023-07-07 9:54:33,3.11,6.55,4.19,17.29,21.92,45.07
2023-07-07 9:54:35,5.13,79.59,1.58,21.79,14.96,22.33
2023-07-07 9:54:38,4.12,39.95,4.76,18.62,16.45,16.17
2023-07-07 9:54:40,30.7,62.02,3.42,38.09,15.84,12.71
2023-07-07 9:54:43,10.56,5.98,32.93,15.68,16.61,16.89
2023-07-07 9:54:45,10.03,24.3,3.46,13.28,16.39,19.72
2023-07-07 9:54:48,3.12,21.2,3.41,67.71,19.65,18.86
2023-07-07 9:54:50,2.62,13.02,11.17,42.5,16.44,22.96
2023-07-07 9:54:53,20.93,208.91,16.88,14.32,14.24,12.77
2023-07-07 9:54:55,4.27,29.12,5.94,15.43,18.32,17.58
2023-07-07 9:54:58,11.38,20.26,3.61,17.97,,39.8
2023-07-07 9:55:00,3.85,5.1,40.15,13.92,19.99,17.86
2023-07-07 9:55:03,5.57,15.01,61.22,12.51,18.86,12.55
2023-07-07 9:55:05,32.97,56.39,4.66,18.51,59.9,36.74
2023-07-07 9:55:08,89.97,5.28,6.32,20.12,16.26,18.39
2023-07-07 9:55:10,4.54,13.03,5.74,13.89,19.01,52.68
2023-07-07 9:55:13,3.73,2.87,14.76,18.05,14.66,87.6
2023-07-07 9:55:15,89.65,6.24,11.45,13.72,16.37,19.6
2023-07-07 9:55:18,13.14,4.44,3.18,24.4,15.6,41.62
2023-07-07 9:55:20,5.3,5.7,4.48,14.36,15.46,32.09
2023-07-07 9:55:23,40.5,06.01,3.34,13.92,14.85,23.9
2023-07-07 9:55:25,49.69,6,3.48,24.33,17.27,17.19
2023-07-07 9:55:28,33.06,5.51,3.7,13.84,17.45,26.22
2023-07-07 9:55:30,14.3,7.74,03.01,13.75,18.72,25.36
2023-07-07 9:55:33,21.03,07.01,5.74,16.22,15.48,17.37
2023-07-07 9:55:35,3.58,6.67,5.31,14.84,14.26,24.89
2023-07-07 9:55:38,14.21,49.1,5.28,16.77,18.74,20.48
2023-07-07 9:55:40,86.64,3.1,5.08,28.91,15.45,13.46
2023-07-07 9:55:43,3.28,14.65,4.55,12.46,16.09,16.9
2023-07-07 9:55:45,3.82,5.01,14.2,116.62,23.54,16.84
2023-07-07 9:55:48,19.2,7.1,3.34,20.39,15.69,17.9
2023-07-07 9:55:50,119.09,6.72,4.29,16.03,16.84,24.62
2023-07-07 9:55:53,4.66,5.4,77.49,22.49,212.82,40.12
2023-07-07 9:55:55,5.58,4.83,5.31,15.31,17.8,17.2
2023-07-07 9:55:58,51.64,34.29,4.28,17.56,17.29,37.84
2023-07-07 9:56:00,40.33,111.35,3.87,17.31,19.15,12.68
2023-07-07 9:56:03,3.31,21.16,3.79,19.4,15.98,12.03
2023-07-07 9:56:05,10.82,4.7,5.65,14.7,20.03,42.03
2023-07-07 9:56:08,144.04,57.71,8.15,20.38,15.23,18.4
2023-07-07 9:56:10,8.69,3.39,4.26,13.36,14.23,27.49
2023-07-07 9:56:13,6.05,3.29,13.38,19.4,14.84,30.47
2023-07-07 9:56:15,3.44,29.16,58.06,15.22,14.51,19.87
2023-07-07 9:56:18,153.27,2.2,5.08,62.27,17.75,20.06
2023-07-07 9:56:20,35.39,4.83,84.26,16.83,19.36,43.76
2023-07-07 9:56:23,31.2,42.9,46.83,15.81,19.03,19.36
2023-07-07 9:56:25,8.05,5.15,3.81,41.56,93.28,19.61
2023-07-07 9:56:28,86.79,91.18,60.12,21.85,24.6,18.44
2023-07-07 9:56:30,3.19,4.8,4.4,24.48,27.21,17.79
2023-07-07 9:56:33,13.39,25.3,19.05,14.97,20.49,23.35
2023-07-07 9:56:35,5.21,5.32,4.11,15.46,16.45,17.09
2023-07-07 9:56:38,16.81,3.52,20.88,22.02,16.78,27.99
2023-07-07 9:56:40,4.02,9.9,12.9,20.64,24.63,23.5
2023-07-07 9:56:43,3.95,4.06,5.85,28.59,18.96,24.99
2023-07-07 9:56:45,3.47,75.34,3.19,19.26,16.77,22.31
2023-07-07 9:56:48,33.19,6,3.8,28.96,,14.75
2023-07-07 9:56:50,47.31,110.03,2.1,12.75,18.12,13.12
